DULICA;ULICA;PSC;DPOSTA;POSTA;POZNAMKA;OBCE
Hlavná;Hlavná;911 05;Trenčín 5;Trenčín 5;;Trenčín
Hodžova;Hodžova;911 01;Trenčín 1;Trenčín 1;;Trenčín
Hollého;Hollého;911 05;Trenčín 5;Trenčín 5;;Trenčín
Holubyho;Holubyho;911 01;Trenčín 1;Trenčín 1;;Trenčín
Horeblatie;Horeblatie;911 01;Trenčín 1;Trenčín 1;;Trenčín
Horné Orechové;Horné Orechové;911 05;Trenčín 5;Trenčín 5;;Trenčín
Horný Šianec;Horný Šianec;911 01;Trenčín 1;Trenčín 1;;Trenčín
Hrabovská;Hrabovská;911 05;Trenčín 5;Trenčín 5;;Trenčín
Hrádzová;Hrádzová;911 05;Trenčín 5;Trenčín 5;;Trenčín
Hroznová;Hroznová;911 05;Trenčín 5;Trenčín 5;;Trenčín
Hurbanova;Hurbanova;911 01;Trenčín 1;Trenčín 1;;Trenčín
Hviezdoslavova;Hviezdoslavova;911 01;Trenčín 1;Trenčín 1;;Trenčín
Hviezdová;Hviezdová;911 01;Trenčín 1;Trenčín 1;;Trenčín
Chotárna;Chotárna;911 05;Trenčín 5;Trenčín 5;;Trenčín
I. Krasku;I. Krasku;911 01;Trenčín 1;Trenčín 1;;Trenčín
I. Olbrachta;I. Olbrachta;911 01;Trenčín 1;Trenčín 1;;Trenčín
Inovecká;Inovecká;911 01;Trenčín 1;Trenčín 1;;Trenčín
Istebnícka;Istebnícka;911 05;Trenčín 5;Trenčín 5;;Trenčín
Ivana Olbrachta;Ivana Olbrachta;911 01;Trenčín 1;Trenčín 1;;Trenčín
J. B. Magina;J. B. Magina;911 01;Trenčín 1;Trenčín 1;;Trenčín
J. Braneckého;J. Braneckého;911 01;Trenčín 1;Trenčín 1;;Trenčín
J. Derku;J. Derku;911 01;Trenčín 1;Trenčín 1;;Trenčín
J. Fabu;J. Fabu;911 01;Trenčín 1;Trenčín 1;;Trenčín
J. Kráľa;J. Kráľa;911 01;Trenčín 1;Trenčín 1;;Trenčín
J. Lipského;J. Lipského;911 01;Trenčín 1;Trenčín 1;;Trenčín
J. Prháčka;J. Prháčka;911 05;Trenčín 5;Trenčín 5;;Trenčín
J. Psotného;J. Psotného;911 05;Trenčín 5;Trenčín 5;;Trenčín
J. Zemana;J. Zemana;911 01;Trenčín 1;Trenčín 1;;Trenčín
Jahodová;Jahodová;911 05;Trenčín 5;Trenčín 5;;Trenčín
Jána Derku;J.Derku;911 01;Trenčín 1;Trenčín 1;;Trenčín
Jána Fabu;J. Fabu;911 01;Trenčín 1;Trenčín 1;;Trenčín
Jána Halašu;Jána Halašu;911 08;Trenčín 8;Trenčín 8;;Trenčín
Jána Hollého;Jána Hollého;911 05;Trenčín 5;Trenčín 5;;Trenčín
Jána Prháčka;Jána Prháčka;911 05;Trenčín 5;Trenčín 5;;Trenčín
Jánošíkova;Jánošíkova;911 05;Trenčín 5;Trenčín 5;;Trenčín
Jarná;Jarná;911 05;Trenčín 5;Trenčín 5;;Trenčín
Jaselská;Jaselská;911 01;Trenčín 1;Trenčín 1;;Trenčín
Jasná;Jasná;911 01;Trenčín 1;Trenčín 1;;Trenčín
Javorinská;Javorinská;911 01;Trenčín 1;Trenčín 1;;Trenčín
Javorová;Javorová;911 05;Trenčín 5;Trenčín 5;;Trenčín
Jedľová;Jedľová;911 05;Trenčín 5;Trenčín 5;;Trenčín
Jesenského;Jesenského;911 01;Trenčín 1;Trenčín 1;;Trenčín
Jilemnického;Jilemnického;911 01;Trenčín 1;Trenčín 1;;Trenčín
Jiráskova;Jiráskova;911 01;Trenčín 1;Trenčín 1;;Trenčín
Južná;Južná;911 08;Trenčín 8;Trenčín 8;;Trenčín
K dolnej stanici;K dolnej stanici;911 01;Trenčín 1;Trenčín 1;;Trenčín
K mlyniskám;K mlyniskám;911 05;Trenčín 5;Trenčín 5;;Trenčín
K výstavisku;K výstavisku;911 01;Trenčín 1;Trenčín 1;;Trenčín
K zábraniu;K zábraniu;911 01;Trenčín 1;Trenčín 1;;Trenčín
K. Šmidkeho;K. Šmidkeho;911 08;Trenčín 8;Trenčín 8;;Trenčín
Kalinčiakova;Kalinčiakova;911 01;Trenčín 1;Trenčín 1;;Trenčín
Karpatská;Karpatská;911 01;Trenčín 1;Trenčín 1;;Trenčín
Kasárenská;Kasárenská;911 05;Trenčín 5;Trenčín 5;;Trenčín
Kmeťova;Kmeťova;911 01;Trenčín 1;Trenčín 1;;Trenčín
Kňažské;Kňažské;911 05;Trenčín 5;Trenčín 5;;Trenčín
Kniežaťa Pribinu;Kniežaťa Pribinu;911 01;Trenčín 1;Trenčín 1;;Trenčín
Kollárova;Kollárova;911 01;Trenčín 1;Trenčín 1;;Trenčín
Komenského;Komenského;911 01;Trenčín 1;Trenčín 1;;Trenčín
Kožušnícka;Kožušnícka;911 05;Trenčín 5;Trenčín 5;;Trenčín
Kpt. Jaroša;Kpt. Jaroša;911 01;Trenčín 1;Trenčín 1;;Trenčín
Kpt.Nálepku;Kpt.Nálepku;911 01;Trenčín 1;Trenčín 1;;Trenčín
Krag. Hrdinov;Krag. Hrdinov;911 01;Trenčín 1;Trenčín 1;;Trenčín
Krátka;Krátka;911 01;Trenčín 1;Trenčín 1;;Trenčín
Ku kyselke;Ku kyselke;911 06;Trenčín 5;Trenčín 5;;Trenčín
Ku štvrtiam;Ku štvrtiam;911 01;Trenčín 1;Trenčín 1;;Trenčín
Kubranská;Kubranská;911 01;Trenčín 1;Trenčín 1;;Trenčín
Kubrica;Kubrica;911 01;Trenčín 1;Trenčín 1;;Trenčín
Kubrická;Kubrická;911 01;Trenčín 1;Trenčín 1;;Trenčín
Kukučínova;Kukučínova;911 01;Trenčín 1;Trenčín 1;;Trenčín
Kúty;Kúty;911 01;Trenčín 1;Trenčín 1;;Trenčín
Kuzmányho;Kuzmányho;911 01;Trenčín 1;Trenčín 1;;Trenčín
Kvetinová;Kvetinová;911 05;Trenčín 5;Trenčín 5;;Trenčín
Kvetná;Kvetná;911 05;Trenčín 5;Trenčín 5;;Trenčín
Kyjevská;Kyjevská;911 08;Trenčín 8;Trenčín 8;;Trenčín
L. Novomeského;L. Novomeského;911 08;Trenčín 8;Trenčín 8;;Trenčín
Ľ. Podjavorinskej;Ľ. Podjavorinskej;911 05;Trenčín 5;Trenčín 5;;Trenčín
Ľ. Stárka;Ľ. Stárka;911 01;Trenčín 1;Trenčín 1;č. 24;Trenčín
Ľ. Stárka;Ľ. Stárka;911 05;Trenčín 5;Trenčín 5;"nep.č.1-29; pár. č. 2-12";Trenčín
Lavičková;Lavičková;911 08;Trenčín 8;Trenčín 8;;Trenčín
Legionárska;Legionárska;911 01;Trenčín 1;Trenčín 1;;Trenčín
Lesnícka;Lesnícka;911 05;Trenčín 5;Trenčín 5;;Trenčín
Lidická;Lidická;911 01;Trenčín 1;Trenčín 1;;Trenčín
Lipová;Lipová;911 05;Trenčín 5;Trenčín 5;;Trenčín
Liptovská;Liptovská;911 08;Trenčín 8;Trenčín 8;;Trenčín
Ľudovíta Stárka;Ľudovíta Stárka;911 05;Trenčín 5;Trenčín 5;;Trenčín
M. Bela;M. Bela;911 08;Trenčín 8;Trenčín 8;;Trenčín
M. Hricku;M. Hricku;911 01;Trenčín 1;Trenčín 1;;Trenčín
M. Kišša;M. Kišša;911 05;Trenčín 5;Trenčín 5;;Trenčín
M. Nešpora;M. Nešpora;911 01;Trenčín 1;Trenčín 1;;Trenčín
M. Rázusa;M. Rázusa;911 01;Trenčín 1;Trenčín 1;;Trenčín
M. Turkovej;M. Turkovej;911 01;Trenčín 1;Trenčín 1;;Trenčín
Magina;Magina;911 01;Trenčín 1;Trenčín 1;;Trenčín
Majerská;Majerská;911 05;Trenčín 5;Trenčín 5;;Trenčín
Malozáblatská;Malozáblatská;911 06;Trenčín 5;Trenčín 5;;Trenčín
Mariánske námestie;Mariánske námestie;911 01;Trenčín 1;Trenčín 1;;Trenčín
Marka Aurélia;Marka Aurélia;911 01;Trenčín 1;Trenčín 1;;Trenčín
Martina Rázusa;Martina Rázusa;911 01;Trenčín 1;Trenčín 1;;Trenčín
Mateja Bela;Mateja Bela;911 08;Trenčín 8;Trenčín 8;;Trenčín
Matice Slovenskej;Matice Slovenskej;911 05;Trenčín 5;Trenčín 5;;Trenčín
Matúšova;Matúšova;911 01;Trenčín 1;Trenčín 1;;Trenčín
Medňanského;Medňanského;911 05;Trenčín 5;Trenčín 5;;Trenčín
Mierové nám.;Mierové nám.;911 01;Trenčín 1;Trenčín 1;;Trenčín
Mládežnícka;Mládežnícka;911 01;Trenčín 1;Trenčín 1;;Trenčín
Mlynská;Mlynská;911 01;Trenčín 1;Trenčín 1;;Trenčín
Mníšna;Mníšna;911 01;Trenčín 1;Trenčín 1;;Trenčín
Moyzesova;Moyzesova;911 01;Trenčín 1;Trenčín 1;;Trenčín
MUDr. A. Churu;MUDr. A. Churu;911 01;Trenčín 1;Trenčín 1;;Trenčín
Na dolinách;Na dolinách;911 05;Trenčín 5;Trenčín 5;;Trenčín
Na kamenci;Na kamenci;911 05;Trenčín 5;Trenčín 5;;Trenčín
Na kameni;Na kameni;911 01;Trenčín 1;Trenčín 1;;Trenčín
Na vinohrady;Na vinohrady;911 05;Trenčín 5;Trenčín 5;;Trenčín
Na záhrade;Na záhrade;911 05;Trenčín 5;Trenčín 5;;Trenčín
Na záhumní;Na záhumní;911 05;Trenčín 5;Trenčín 5;;Trenčín
Na Zongorke;Na Zongorke;911 01;Trenčín 1;Trenčín 1;;Trenčín
Nábrežná;Nábrežná;911 01;Trenčín 1;Trenčín 1;;Trenčín
Nad tehelňou;Nad tehelňou;911 01;Trenčín 1;Trenčín 1;;Trenčín
Nám. SNP;Nám. SNP;911 01;Trenčín 1;Trenčín 1;;Trenčín
Nám. sv. Anny;Nám. sv. Anny;911 01;Trenčín 1;Trenčín 1;;Trenčín
Narcisová;Narcisová;911 01;Trenčín 1;Trenčín 1;;Trenčín
Nemocničná;Nemocničná;911 01;Trenčín 1;Trenčín 1;;Trenčín
Niva;Niva;911 01;Trenčín 1;Trenčín 1;;Trenčín
Nová;Nová;911 01;Trenčín 1;Trenčín 1;;Trenčín
Nové Prúdy;Nové Prúdy;911 01;Trenčín 1;Trenčín 1;;Trenčín
Nozdrkovce;Nozdrkovce;911 01;Trenčín 1;Trenčín 1;;Trenčín
Obchodná;Obchodná;911 05;Trenčín 5;Trenčín 5;;Trenčín
Odbojárov;Odbojárov;911 01;Trenčín 1;Trenčín 1;;Trenčín
Okružná;Okružná;911 05;Trenčín 5;Trenčín 5;;Trenčín
Opatovská;Opatovská;911 01;Trenčín 1;Trenčín 1;;Trenčín
Orechovská;Orechovská;911 05;Trenčín 5;Trenčín 5;;Trenčín
Orgovánová;Orgovánová;911 05;Trenčín 5;Trenčín 5;;Trenčín
Osloboditeľov;Osloboditeľov;911 01;Trenčín 1;Trenčín 1;;Trenčín
Osvienčimská;Osvienčimská;911 01;Trenčín 1;Trenčín 1;;Trenčín
Ovocná;Ovocná;911 01;Trenčín 1;Trenčín 1;;Trenčín
Pádivého;Pádivého;911 01;Trenčín 1;Trenčín 1;;Trenčín
Palackého;Palackého;911 01;Trenčín 1;Trenčín 1;;Trenčín
Palárikova;Palárikova;911 01;Trenčín 1;Trenčín 1;;Trenčín
Panenská;Panenská;911 01;Trenčín 1;Trenčín 1;;Trenčín
Partizánska;Partizánska;911 01;Trenčín 1;Trenčín 1;;Trenčín
Petra Bezruča;Petra Bezruča;911 01;Trenčín 1;Trenčín 1;;Trenčín
Piaristická;Piaristická;911 01;Trenčín 1;Trenčín 1;;Trenčín
Piešťanská;Piešťanská;911 05;Trenčín 5;Trenčín 5;;Trenčín
Pod Brezinou;Pod Brezinou;911 01;Trenčín 1;Trenčín 1;;Trenčín
Pod čerešňami;Pod čerešňami;911 01;Trenčín 1;Trenčín 1;;Trenčín
Pod drienim;Pod drienim;911 01;Trenčín 1;Trenčín 1;;Trenčín
Pod hájikom;Pod hájikom;911 01;Trenčín 1;Trenčín 1;;Trenčín
Pod horou;Pod horou;911 01;Trenčín 1;Trenčín 1;;Trenčín
Pod Juhom;Pod Juhom;911 01;Trenčín 1;Trenčín 1;;Trenčín
Pod kaštielom;Pod kaštielom;911 05;Trenčín 5;Trenčín 5;;Trenčín
Pod Komárky;Pod Komárky;911 01;Trenčín 1;Trenčín 1;;Trenčín
Pod Kopanky;Pod Kopanky;911 05;Trenčín 5;Trenčín 5;;Trenčín
Pod lipami;Pod lipami;911 01;Trenčín 1;Trenčín 1;;Trenčín
Pod Skalkou;Pod Skalkou;911 01;Trenčín 1;Trenčín 1;;Trenčín
Pod Sokolice;Pod Sokolice;911 01;Trenčín 1;Trenčín 1;;Trenčín
Podjavorinskej;Podjavorinskej;911 05;Trenčín 5;Trenčín 5;;Trenčín
Poľná;Poľná;911 01;Trenčín 1;Trenčín 1;;Trenčín
Poľnohospodárska;Poľnohospodárska;911 06;Trenčín 5;Trenčín 5;;Trenčín
Poľovnícka;Poľovnícka;911 05;Trenčín 5;Trenčín 5;;Trenčín
Potočná;Potočná;911 01;Trenčín 1;Trenčín 1;;Trenčín
Považská;Považská;911 01;Trenčín 1;Trenčín 1;;Trenčín
Pred poľom;Pred poľom;911 01;Trenčín 1;Trenčín 1;;Trenčín
Pri parku;Pri parku;911 06;Trenčín 5;Trenčín 5;;Trenčín
Pri Tepličke;Pri Tepličke;911 01;Trenčín 1;Trenčín 1;;Trenčín
Prúdy;Prúdy;911 05;Trenčín 5;Trenčín 5;;Trenčín
Puškinova;Puškinova;911 01;Trenčín 1;Trenčín 1;;Trenčín
Radlinského;Radlinského;911 05;Trenčín 5;Trenčín 5;;Trenčín
Rastislavova;Rastislavova;911 05;Trenčín 5;Trenčín 5;;Trenčín
Riznerova;Riznerova;911 01;Trenčín 1;Trenčín 1;;Trenčín
Rovná;Rovná;911 01;Trenčín 1;Trenčín 1;;Trenčín
Rozmarínová;Rozmarínová;911 01;Trenčín 1;Trenčín 1;;Trenčín
Ružová;Ružová;911 05;Trenčín 5;Trenčín 5;;Trenčín
Rybáre;Rybáre;911 06;Trenčín 5;Trenčín 5;;Trenčín
Rybárska;Rybárska;911 01;Trenčín 1;Trenčín 1;;Trenčín
S. Chalúpku;S. Chalúpku;911 01;Trenčín 1;Trenčín 1;;Trenčín
Sadová;Sadová;911 01;Trenčín 1;Trenčín 1;;Trenčín
Saratovská;Saratovská;911 08;Trenčín 8;Trenčín 8;;Trenčín
Sasinkova;Sasinkova;911 01;Trenčín 1;Trenčín 1;;Trenčín
Severná;Severná;911 05;Trenčín 5;Trenčín 5;;Trenčín
Sibírska;Sibírska;911 01;Trenčín 1;Trenčín 1;;Trenčín
Sigôtky;Sigôtky;911 06;Trenčín 5;Trenčín 5;;Trenčín
Sládkovičova;Sládkovičova;911 01;Trenčín 1;Trenčín 1;;Trenčín
Slivková;Slivková;911 05;Trenčín 5;Trenčín 5;;Trenčín
Slnečné nám.;Slnečné nám.;911 01;Trenčín 1;Trenčín 1;;Trenčín
Smetanova;Smetanova;911 01;Trenčín 1;Trenčín 1;;Trenčín
Soblahovská;Soblahovská;911 01;Trenčín 1;Trenčín 1;;Trenčín
Staničná;Staničná;911 05;Trenčín 5;Trenčín 5;;Trenčín
Strojárenská;Strojárenská;911 01;Trenčín 1;Trenčín 1;;Trenčín
Stromová;Stromová;911 01;Trenčín 1;Trenčín 1;;Trenčín
Súdna;Súdna;911 01;Trenčín 1;Trenčín 1;;Trenčín
Súhrady;Súhrady;911 05;Trenčín 5;Trenčín 5;;Trenčín
Súťažná;Súťažná;911 05;Trenčín 5;Trenčín 5;;Trenčín
Súvoz;Súvoz;911 01;Trenčín 1;Trenčín 1;;Trenčín
Svätoplukova;Svätoplukova;911 05;Trenčín 5;Trenčín 5;;Trenčín
Šafárikova;Šafárikova;911 08;Trenčín 8;Trenčín 8;;Trenčín
Šafránová;Šafránová;911 05;Trenčín 5;Trenčín 5;;Trenčín
Široká;Široká;911 05;Trenčín 5;Trenčín 5;;Trenčín
Školská;Školská;911 05;Trenčín 5;Trenčín 5;;Trenčín
Šoltésovej;Šoltésovej;911 01;Trenčín 1;Trenčín 1;;Trenčín
Športová;Športová;911 05;Trenčín 5;Trenčín 5;;Trenčín
Šťastná;Šťastná;911 01;Trenčín 1;Trenčín 1;;Trenčín
Študentská;Študentská;911 01;Trenčín 1;Trenčín 1;;Trenčín
Štúrovo nám.;Štúrovo nám.;911 01;Trenčín 1;Trenčín 1;;Trenčín
Švermova;Švermova;911 01;Trenčín 1;Trenčín 1;;Trenčín
Tatranská;Tatranská;911 01;Trenčín 1;Trenčín 1;;Trenčín
Tichá;Tichá;911 01;Trenčín 1;Trenčín 1;;Trenčín
Továrenská;Továrenská;911 05;Trenčín 5;Trenčín 5;;Trenčín
Turkovej;Turkovej;911 01;Trenčín 1;Trenčín 1;;Trenčín
Úzka;Úzka;911 01;Trenčín 1;Trenčín 1;;Trenčín
V. Zamarovského;V. Zamarovského;911 01;Trenčín 1;Trenčín 1;;Trenčín
Vajanského;Vajanského;911 01;Trenčín 1;Trenčín 1;;Trenčín
Vansovej;Vansovej;911 08;Trenčín 8;Trenčín 8;;Trenčín
Vážska;Vážska;911 05;Trenčín 5;Trenčín 5;;Trenčín
Veľkomoravská;Veľkomoravská;911 05;Trenčín 5;Trenčín 5;;Trenčín
Veterná;Veterná;911 01;Trenčín 1;Trenčín 1;;Trenčín
Višňová;Višňová;911 05;Trenčín 5;Trenčín 5;;Trenčín
Vl. Roya;Vl. Roya;911 05;Trenčín 5;Trenčín 5;;Trenčín
Vlárska;Vlárska;911 05;Trenčín 5;Trenčín 5;;Trenčín
Vodárenská;Vodárenská;911 01;Trenčín 1;Trenčín 1;;Trenčín
Volavé;Volavé;911 01;Trenčín 1;Trenčín 1;;Trenčín
Východná ulica;Východná;911 08;Trenčín 8;Trenčín 8;;Trenčín
Za humnami;Za humnami;911 01;Trenčín 1;Trenčín 1;;Trenčín
Záblatská;Záblatská;911 06;Trenčín 5;Trenčín 5;;Trenčín
Záhradná;Záhradná;911 05;Trenčín 5;Trenčín 5;;Trenčín
Záhradnícka;Záhradnícka;911 01;Trenčín 1;Trenčín 1;;Trenčín
Záhrady;Záhrady;911 01;Trenčín 1;Trenčín 1;;Trenčín
Záhumenská;Záhumenská;911 01;Trenčín 1;Trenčín 1;;Trenčín
Zamarovská;Zamarovská;911 05;Trenčín 5;Trenčín 5;;Trenčín
Západná;Západná;911 08;Trenčín 8;Trenčín 8;;Trenčín
Zelená;Zelená;911 01;Trenčín 1;Trenčín 1;;Trenčín
Zelnice;Zelnice;911 01;Trenčín 1;Trenčín 1;;Trenčín
Zlatovská;Zlatovská;911 05;Trenčín 5;Trenčín 5;;Trenčín
Žabinská;Žabinská;911 05;Trenčín 5;Trenčín 5;;Trenčín
Železničná;Železničná;911 01;Trenčín 1;Trenčín 1;;Trenčín
Žilinská;Žilinská;911 01;Trenčín 1;Trenčín 1;;Trenčín
Agátová ulica;Agátová;917 01;Trnava 1;Trnava 1;;Trnava
Automobilová ulica;Automobilová;917 01;Trnava 1;Trnava 1;;Trnava
Belgická ulica;Belgická;917 01;Trnava 1;Trnava 1;;Trnava
Bratislavská ulica;Bratislavská ulica;917 02;Trnava 2;Trnava 2;;Trnava
Bulharská ulica;Bulharská ulica;917 01;Trnava 1;Trnava 1;;Trnava
Coburgova ulica;Coburgova ulica;917 02;Trnava 2;Trnava 2;;Trnava
Cukrová ulica;Cukrová ulica;917 01;Trnava 1;Trnava 1;;Trnava
Čerešňová ulica;Čerešňová;917 08;Trnava 8;Trnava 8;;Trnava
Dedinská ulica;Dedinská ulica;917 05;Trnava 5;Trnava 5;;Trnava
Dobšinského ulica;Dobšinského ulica;917 01;Trnava 1;Trnava 1;;Trnava
Dolné bašty;Dolné bašty;917 01;Trnava 1;Trnava 1;;Trnava
Dúhová ulica;Dúhová;917 01;Trnava 1;Trnava 1;;Trnava
Farárske;Farárske;917 01;Trnava 1;Trnava 1;;Trnava
Horné bašty;Horné bašty;917 01;Trnava 1;Trnava 1;;Trnava
Chrenová ulica;Chrenová;917 05;Trnava 5;Trnava 5;;Trnava
Jabloňová ulica;Jabloňová;917 05;Trnava 5;Trnava 5;;Trnava
Jazdecká ulica;Jazdecká;917 08;Trnava 8;Trnava 8;;Trnava
Jilemnického ulica;Jilemnického;917 01;Trnava 1;Trnava 1;;Trnava
Kamenná cesta;Kamenná cesta;917 08;Trnava 8;Trnava 8;;Trnava
Kamenný mlyn;Kamenný mlyn;919 34;Biely Kostol;Biely Kostol;;Trnava
Koceľova ulica;Koceľova;917 01;Trnava 1;Trnava 1;;Trnava
Kočišské;Kočišské;919 34;Biely Kostol;Biely Kostol;;Trnava
Kopánková ulica;Kopánkova;917 01;Trnava 1;Trnava 1;;Trnava
Krátka ulica;Krátka;917 08;Trnava 8;Trnava 8;;Trnava
Krupská ulica;Krupská;917 01;Trnava 1;Trnava 1;;Trnava
Legionárska ulica;Legionárska;917 01;Trnava 1;Trnava 1;;Trnava
Lúčna ulica;Lúčna;917 05;Trnava 5;Trnava 5;;Trnava
Malinová ulica;Malinová;917 05;Trnava 5;Trnava 5;;Trnava
Malženická cesta;Malženická cesta;917 01;Trnava 1;Trnava 1;;Trnava
Medziháj;Medziháj;919 61;Ružindol;Ružindol;;Trnava
Mesačná;Mesačná;917 02;Trnava 2;Trnava 2;;Trnava
Múzejné námestie;Múzejné námestie;917 01;Trnava 1;Trnava 1;;Trnava
Na hlinách;Na hlinách;917 01;Trnava 1;Trnava 1;;Trnava
Námestie Jozefa Herdu;Námestie Jozefa Herdu;917 01;Trnava 1;Trnava 1;;Trnava
Námestie Slovenského národného povstania;Nám. SNP;917 01;Trnava 1;Trnava 1;;Trnava
Námestie Slovenského učeného tovarišstva;Nám.Slov.učeného tovarišstva;917 01;Trnava 1;Trnava 1;;Trnava
Námestie sv. Mikuláša;Námestie sv.Mikuláša;917 01;Trnava 1;Trnava 1;;Trnava
Narcisová ulica;Narcisová;917 01;Trnava 1;Trnava 1;;Trnava
Novomestská ulica;Novomestská ulica;917 01;Trnava 1;Trnava 1;;Trnava
Okružná ulica;Okružná ulica;917 01;Trnava 1;Trnava 1;;Trnava
Okružné námestie;Okružné námestie;917 08;Trnava 8;Trnava 8;;Trnava
Olympijská ulica;Olympijská ulica;917 01;Trnava 1;Trnava 1;;Trnava
Oravné;Oravné;917 01;Trnava 1;Trnava 1;;Trnava
Orechová ulica;Orechová ulica;917 05;Trnava 5;Trnava 5;;Trnava
Orešianska ulica;Orešianska ulica;917 01;Trnava 1;Trnava 1;;Trnava
Park Janka Kráľa;Park Janka Kráľa;917 08;Trnava 8;Trnava 8;;Trnava
Pásová ulica;Pásová;917 05;Trnava 5;Trnava 5;;Trnava
Pažitný mlyn;Pažitný mlyn;917 01;Trnava 1;Trnava 1;;Trnava
Pekná ulica;Pekná ulica;917 01;Trnava 1;Trnava 1;;Trnava
Poštová ulica;Poštová;917 01;Trnava 1;Trnava 1;;Trnava
Prechodná ulica;Prechodná ulica;917 01;Trnava 1;Trnava 1;;Trnava
Pri kalvárii;Pri kalvárii;917 01;Trnava 1;Trnava 1;;Trnava
Pri potoku;Pri potoku;917 05;Trnava 5;Trnava 5;;Trnava
Priemyselná ulica;Priemyselná ulica;917 01;Trnava 1;Trnava 1;;Trnava
Prílohy;Prílohy;917 01;Trnava 1;Trnava 1;;Trnava
Pútnická ulica;Pútnická;917 05;Trnava 5;Trnava 5;;Trnava
Rajčurská ulica;Rajčurská;917 05;Trnava 5;Trnava 5;;Trnava
Robotnícka;Robotnícka;917 01;Trnava 1;Trnava 1;;Trnava
Roľnícka ulica;Roľnícka;917 08;Trnava 8;Trnava 8;;Trnava
Rovná ulica;Rovná ulica;917 01;Trnava 1;Trnava 1;;Trnava
Saleziánska ulica;Saleziánska;917 01;Trnava 1;Trnava 1;;Trnava
Seminárska;Seminárska;917 01;Trnava 1;Trnava 1;;Trnava
Schumerova ulica;Schumerova ulica;917 01;Trnava 1;Trnava 1;;Trnava
Slovenská ulica;Slovenská ulica;917 01;Trnava 1;Trnava 1;;Trnava
Spojná ulica;Spojná;917 01;Trnava 1;Trnava 1;;Trnava
Stará ulica;Stará ulica;917 01;Trnava 1;Trnava 1;;Trnava
Starohájska ulica;Starohájska;917 01;Trnava 1;Trnava 1;;Trnava
Strmá ulica;Strmá;917 01;Trnava 1;Trnava 1;;Trnava
Stromová ulica;Stromová ulica;917 02;Trnava 2;Trnava 2;;Trnava
Šípová ulica;Šípová ulica;917 01;Trnava 1;Trnava 1;;Trnava
ŠM 9. mája;ŠM 9. mája;917 01;Trnava 1;Trnava 1;;Trnava
ŠM Dolina;ŠM Dolina;917 01;Trnava 1;Trnava 1;;Trnava
ŠM Farský mlyn;ŠM Farský mlyn;917 01;Trnava 1;Trnava 1;;Trnava
ŠM Peklo;ŠM Peklo;917 01;Trnava 1;Trnava 1;;Trnava
ŠM Veľký dvor;ŠM Veľký dvor;917 01;Trnava 1;Trnava 1;;Trnava
Špačinská cesta;Špačinská cesta;917 01;Trnava 1;Trnava 1;;Trnava
Šrobárova ulica;Šrobárova;917 01;Trnava 1;Trnava 1;;Trnava
Štrky;Štrky;917 01;Trnava 1;Trnava 1;;Trnava
Tichá ulica;Tichá ulica;917 05;Trnava 5;Trnava 5;;Trnava
Traťová ulica;Traťová;917 08;Trnava 8;Trnava 8;;Trnava
Tŕnitá ulička;Tŕnitá ulička;917 01;Trnava 1;Trnava 1;;Trnava
Trojičné námestie;Trojičné námestie;917 01;Trnava 1;Trnava 1;;Trnava
Trstínska cesta;Trstínska cesta;917 01;Trnava 1;Trnava 1;;Trnava
Tulipánová ulica;Tulipánová ulica;917 02;Trnava 2;Trnava 2;;Trnava
Ulica 9.mája;Ulica 9.mája;917 02;Trnava 2;Trnava 2;;Trnava
Ulica A. Sládkoviča;Ulica A. Sládkoviča;917 01;Trnava 1;Trnava 1;;Trnava
Ulica Adama Štrekára;Adama Štrekára;917 08;Trnava 8;Trnava 8;;Trnava
Ulica Alfréda Wetzlera;Alfréda Wetzlera;917 08;Trnava 8;Trnava 8;;Trnava
Ulica Andreja Hlinku;Ulica Andreja Hlinku;917 01;Trnava 1;Trnava 1;;Trnava
Ulica Andreja Kmeťa;Andreja Kmeťa;917 01;Trnava 1;Trnava 1;;Trnava
Ulica Andreja Kubinu;Ulica Andreja Kubinu;917 01;Trnava 1;Trnava 1;;Trnava
Ulica Andreja Žarnova;Ulica Andreja Žarnova;917 02;Trnava 2;Trnava 2;;Trnava
Ulica Antona Malatinského;Antona Malatinského;917 01;Trnava 1;Trnava 1;;Trnava
Ulica Astrová;Ulica Astrová;917 02;Trnava 2;Trnava 2;;Trnava
Ulica Atómová;Atómová;917 01;Trnava 1;Trnava 1;;Trnava
Ulica Átriová;Átriová;917 01;Trnava 1;Trnava 1;;Trnava
Ulica B. Němcovej;B. Němcovej;917 01;Trnava 1;Trnava 1;;Trnava
Ulica B.S. Timravy;Ulica B.S. Timravy;917 01;Trnava 1;Trnava 1;;Trnava
Ulica Bedřicha Smetanu;Ulica Bedřicha Smetanu;917 08;Trnava 8;Trnava 8;;Trnava
Ulica Bernolákova;Bernolákova;917 01;Trnava 1;Trnava 1;;Trnava
Ulica Bočná;Ulica Bočná;917 02;Trnava 2;Trnava 2;;Trnava
Ulica Bosniacka;Bosniacka;917 05;Trnava 5;Trnava 5;;Trnava
Ulica Botanická;Ulica Botanická;917 08;Trnava 8;Trnava 8;;Trnava
Ulica Bradlanská;Ulica Bradlanská;917 01;Trnava 1;Trnava 1;;Trnava
Ulica Bučianska;Ulica Bučianska;917 01;Trnava 1;Trnava 1;;Trnava
